"","Navn","Stemmer","Uddannelse","Forebyggelse","Sundhed","Velfærd","Arbejdsmarked_1","Arbejdsmarked_2","Økonomi","Trafik","Ret","Social","Integration","EU","Udvikling","Miljø","Kultur","Parti","Storkreds","Lokalkreds","Alder","Titel","Bopæl","Køn","Valgt_ved_sidste_valg","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Valgt_nr","Stedfor_nr"
"383","Kristina Jørgensen",2185,"Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","dansk folkeparti","Sydjyllands "," Vejen"," Ukendt"," Økonom "," 6000 Kolding"," Kvinde "," Nej ","Alle","7",3494,"","1"
"384","Marie Krarup",2436,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","dansk folkeparti","Sydjyllands "," Varde"," 49"," Gymnasielærer "," 1774 København V"," Kvinde "," Ja ","Alle","6",4026,"5K",""
"385","Svend Erik Nielsen",866,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","dansk folkeparti","Sydjyllands "," Haderslev"," Ukendt"," Regnskabschef "," 7182 Bredsted"," Mand "," Nej ","Alle","13",1445,"","4"
"386","Kenneth Fredslund Petersen",698,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","dansk folkeparti","Sydjyllands "," Vejle syd"," Ukendt"," Tapperiassistent "," 7120 Vejle Øst"," Mand "," Nej ","Alle","9",1078,"","5"
"387","Peter Kofod Poulsen",3336,"Delvist enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","dansk folkeparti","Sydjyllands "," Aabenraa"," 25"," Lærerstuderende "," 6100 Haderslev"," Mand "," Ja ","Alle","2",5623,"2K",""
"388","Jesper Strøm",652,"Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","dansk folkeparti","Sydjyllands "," Fredericia"," Ukendt"," Kørelærer "," 7000 Fredericia"," Mand "," Nej ","Alle","10",1061,"","6"
"389","Ellen Trane Nørby",12012,"Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig","venstre","Sydjyllands "," Sønderborg"," 35"," Ukendt "," 6400 Sønderborg"," Kvinde "," Ja ","Alle","1",17179,"2K",""
"390","Jens Ejner Christensen",5150,"Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","venstre","Sydjyllands "," Vejle nord"," 47"," Gårdejer "," 7300 Jelling"," Mand "," Ja ","Alle","8",8455,"","2"
"391","Peter Christensen",5133,"Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist enig","venstre","Sydjyllands "," Aabenraa"," 40"," Fhv. minister "," 6200 Aabenraa"," Mand "," Ja ","Alle","2",7381,"","3"
"392","Eva Kjer Hansen",7647,"Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","venstre","Sydjyllands "," Kolding syd"," 51"," Formand for Folketingets Europaudvalg, fhv. minister, cand.polit "," 6200 Aabenraa"," Kvinde "," Ja ","Alle","12",12342,"3K",""
