"","Navn","Stemmer","Uddannelse","Forebyggelse","Sundhed","Velfærd","Arbejdsmarked_1","Arbejdsmarked_2","Økonomi","Trafik","Ret","Social","Integration","EU","Udvikling","Miljø","Kultur","Parti","Storkreds","Lokalkreds","Alder","Titel","Bopæl","Køn","Valgt_ved_sidste_valg","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Valgt_nr","Stedfor_nr"
"1","Yildiz Akdogan",4284,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Københavns "," Brønshøj"," 42"," cand.scient.pol. "," 2200 København N"," Kvinde "," Ja ","Alle","7",7037,"3K",""
"2","Sine Heltberg",827,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","socialdemokraterne","Københavns "," Slots"," Ukendt"," Ukendt ","  Frederiksberg"," Kvinde "," Nej ","Alle","11",1363,"","3"
"3","Özkan Kocak",913,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","socialdemokraterne","Københavns "," Sundbyøster"," 39"," Ukendt "," 2600 Glostrup"," Mand "," Nej ","Alle","4",1515,"","2"
"4","Lars Aslan Rasmussen",1447,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt uenig","Helt enig","Delvist uenig","socialdemokraterne","Københavns "," Nørrebro"," Ukendt"," Folkeskolelærer "," 2300 København S"," Mand "," Nej ","Alle","5",2368,"","1"
"5","Mette Reissmann",2962,"Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Københavns "," Valby"," 52"," MF "," 2100 København Ø"," Kvinde "," Ja ","Alle","8",4880,"4K",""
"6","Dennis Schnell-Lauritzen",508,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","socialdemokraterne","Københavns "," Sundbyvester"," Ukendt"," cand.jur. "," 2300 København S"," Mand "," Nej ","Alle","2",841,"","4"
"7","Kristian Westfall",324,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","socialdemokraterne","Københavns "," Vesterbro"," 36"," cand.soc. "," 2200 København N"," Mand "," Nej ","Alle","9",528,"","6"
"8","Pernille Boye Koch",867,"Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist uenig","radikale venstre","Københavns "," Østerbro"," 45"," Universitetslektor "," 2720 Vanløse"," Kvinde "," Ja ","Alle","1",1547,"","4"
"9","Samira Nawa Amini",1790,"Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","radikale venstre","Københavns "," Utterslev"," 27"," Fuldmægtig ","  Roskilde"," Kvinde "," Nej ","Alle","6",3208,"","2"
"10","Ida Auken",10431,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Københavns "," Vesterbro"," 37"," Fhv. minister ","  Frederiksberg"," Kvinde "," Ja ","Alle","9",18600,"1K",""
"11","Søren Burcharth",191,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","radikale venstre","Københavns "," Brønshøj"," Ukendt"," Teamchef ","  Vanløse"," Mand "," Nej ","Alle","7",338,"","10"
"12","Sophie Danneris",423,"Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","radikale venstre","Københavns "," Sundbyvester"," 29"," cand.scient.soc. ","  København S"," Kvinde "," Nej ","Alle","2",757,"","6"
"13","Karsten Lauritsen",177,"Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","radikale venstre","Københavns "," Slots"," 50"," Direktør ","  Frederiksberg"," Mand "," Ja ","Alle","11",315,"","11"
"14","Lone Loklindt",1134,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","radikale venstre","Københavns "," Falkoner"," 55"," CSR-konsulent "," 1825 Frederiksberg C"," Kvinde "," Ja ","Alle","10",2004,"","3"
"15","Manu Sareen",6168,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Københavns "," Nørrebro"," 48"," Minister for Børn, Ligestilling, Integration og Sociale Forhold ","  Frederiksberg C"," Mand "," Ja ","Alle","5",11001,"","1"
"16","André Just Vedgren",323,"Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","radikale venstre","Københavns "," Sundbyøster"," Ukendt"," Cand.it. "," 2300 København S"," Mand "," Nej ","Alle","4",576,"","7"
"17","Niels Wanning",268,"Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","radikale venstre","Københavns "," Valby"," Ukendt"," Rådgiver ","  København V"," Mand "," Nej ","Alle","8",477,"","9"
"18","Helle Bonnesen",1430,"Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","det konservative folkeparti","Københavns "," Sundbyøster, Vesterbro, Østerbro"," 52"," cand.merc. "," 2300 København Ø"," Kvinde "," Ja ","Alle","1 4 9",2968,"","2"
"19","Lars Barfoed",2606,"Helt enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","det konservative folkeparti","Københavns "," Brønshøj, Falkoner, Slots"," 58"," Fhv. minister, cand. jur. ","  Frederiksberg"," Mand "," Ja ","Alle","7 10 11",5343,"","1"
"20","Josefine Kofoed",1209,"Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","det konservative folkeparti","Københavns "," Dragør, Tårnby"," 29"," stud.scient.pol. "," Ukendt"," Kvinde "," Nej ","Alle","12",2474,"","3"
"21","Søren-Michael Pihl",257,"Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt enig","det konservative folkeparti","Københavns "," Sundbyvester, Valby"," Ukendt"," Interim manager "," 2100 København Ø"," Mand "," Nej ","Alle","2 8",541,"","5"
"22","Sisse Marie Welling",727,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","socialistisk folkeparti","Københavns "," Østerbro, Valby, Sundbyvester, Tårnby"," 29"," Fuldmægtig "," 2200 København N"," Kvinde "," Nej ","Alle","1 2 8 12",1115,"","2"
"23","Balder Mørk Andersen",400,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Københavns "," Storkredskandidat"," 39"," Konsulent ","  Frederiksberg"," Mand "," Ja ","Alle","",602,"","4"
"24","Neil Bloem",278,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Københavns "," Storkredskandidat"," 33"," Studerende "," 2200 København N"," Mand "," Nej ","Alle","",424,"","5"
"25","Özlem Sara Cekic",6542,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Københavns "," Vesterbro, Indre by, Utterslev, Falkoner"," 39"," Sygeplejerske "," 2770 Kastrup"," Kvinde "," Ja ","Alle","3 6 9 10",9947,"","1"
"26","Leif Donbæk",104,"Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","socialistisk folkeparti","Københavns "," Storkredskandidat"," 31"," Stud.jur. "," 2200 København N"," Mand "," Nej ","Alle","",160,"","9"
"27","Pia Olsen Dyhr",9575,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Københavns "," Nørrebro, Brønshøj, Sundbyøster, Slots"," 44"," Partiformand "," 2700 Brønshøj"," Kvinde "," Ja ","Alle","4 5 7 11",14487,"1K",""
"28","Kathrine Jensen",116,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","socialistisk folkeparti","Københavns "," Ukendt"," Ukendt"," Kandidat i Asienstudier ","  København V"," Kvinde "," Nej ","Alle","",179,"","8"
"29","Klaus Mygind",147,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Københavns "," Storkredskandidat"," Ukendt"," Konsulent "," 2300 København S"," Mand "," Nej ","Alle","",224,"","6"
"30","Jonas Niemann",119,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig","socialistisk folkeparti","Københavns "," Storkredskandidat"," Ukendt"," Kemiker "," 2100 København Ø"," Mand "," Nej ","Alle","",183,"","7"
"31","Kasper Nordborg Kiær",456,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Københavns "," Storkredskandidat"," Ukendt"," Folkeskolelærer "," 2300 København S"," Mand "," Nej ","Alle","",695,"","3"
"32","Halime Oguz",73,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Københavns "," Storkredskandidat"," Ukendt"," cand.mag. / integrationsvejleder "," Ukendt"," Kvinde "," Nej ","Alle","",114,"","11"
"33","Kirsten Sloth",85,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Københavns "," Storkredskandidat"," 51"," Administrativ sagsbehandler ","  København K"," Kvinde "," Nej ","Alle","",130,"","10"
"34","Simon Emil Ammitzbøll",6904,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Københavns "," Storkredskandidat"," 38"," MF "," 2100 København Ø"," Mand "," Ja ","Alle","1 2 3 4 5 6 7 9 12",21794,"1K",""
"35","Karina Bergmann",643,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Helt enig","liberal alliance","Københavns "," Storkredskandidat"," Ukendt"," Sælger "," 2200 København N"," Kvinde "," Nej ","Alle","",2067,"","2"
"36","Rasmus Boserup",224,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Københavns "," Storkredskandidat"," Ukendt"," IT-chef "," 2770 Kastrup"," Mand "," Nej ","Alle","",710,"","5"
"37","Patrick Donovan",251,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","liberal alliance","Københavns "," Storkredskandidat"," Ukendt"," Konsulent "," 2450 København SV"," Mand "," Nej ","Alle","",792,"","4"
"38","Søren Juliussen",203,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Københavns "," Storkredskandidat"," Ukendt"," Mediegrafiker "," 2400 København NV"," Mand "," Nej ","Alle","",641,"","6"
"39","Kasper Heumann Kristensen",471,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Københavns "," Storkredskandidat"," 38"," Direktør "," 2200 København N"," Mand "," Nej ","Alle","",1501,"","3"
"40","Laura Lindahl",2691,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt enig","liberal alliance","Københavns "," Østerbro"," 32"," Rådmand "," 1813 Frederiksberg C"," Kvinde "," Ja ","Alle","8 10 11",8310,"1T",""
"41","Danny K. Malkowski",670,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","liberal alliance","Københavns "," Storkredskandidat"," 31"," Selvstændig "," 2400 København NV"," Mand "," Nej ","Alle","",2120,"","1"
"42","Henrik Howardsen",120,"Helt enig","Helt enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig","kristendemokraterne","Københavns "," Nørrebro"," Ukendt"," Sygeplejerske "," 2200 København N"," Mand "," Nej ","Alle","5",442,"",""
"43","Sølve Jønsson",59,"Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","kristendemokraterne","Københavns "," Sundbyvester"," Ukendt"," Bibliotekar "," 2300 København S"," Kvinde "," Nej ","Alle","2",221,"",""
"44","Bess Serner-Pedersen",151,"Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Delvist enig","Hverken enig eller uenig","kristendemokraterne","Københavns "," Slots, Brønshøj, Vanløse"," 64"," Sekretær "," 2720 Vanløse"," Kvinde "," Ja ","Alle","11",558,"",""
"45","Preben Bille Brahe",272,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","dansk folkeparti","Københavns "," Valby"," Ukendt"," Kaptajn "," 2942 Skodsborg"," Mand "," Nej ","Alle","8",713,"","7"
"46","Morten Dreyer",585,"Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist uenig","dansk folkeparti","Københavns "," Falkoner"," 68"," IT-konsulent "," 2791 Dragør"," Mand "," Ja ","Alle","10",1419,"","5"
"47","Søren Lund Hansen",168,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","dansk folkeparti","Københavns "," Vesterbro"," 41"," Logistikchef "," 4200 Slagelse"," Mand "," Nej ","Alle","9",444,"","10"
"48","Martin Henriksen",3094,"Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","dansk folkeparti","Københavns "," Tårnby"," 35"," Chauffør "," 2791 Dragør"," Mand "," Ja ","Alle","12",7625,"2K",""
"49","Paw Karslund",1301,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","dansk folkeparti","Københavns "," Sundbyvester"," 42"," Flyportør "," 2791 Dragør"," Mand "," Ja ","Alle","2",2986,"","1"
"50","Else-Marie Madsen",195,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","dansk folkeparti","Københavns "," Indre By"," Ukendt"," Efterlønsmodtager ","  Allerød"," Kvinde "," Nej ","Alle","3",502,"","9"
"51","Githa Nelander",248,"Helt enig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","dansk folkeparti","Københavns "," Nørrebro"," 54"," Businesscoach "," 4700 Næstved"," Kvinde "," Ja ","Alle","5",646,"","8"
"52","Finn Rudaizky",1121,"Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist enig","dansk folkeparti","Københavns "," Sundbyøster"," 73"," Borgerrepræsentationsmedlem "," 1414 København K"," Mand "," Ja ","Alle","4",2844,"","2"
"53","Jens Vornøe",337,"Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","dansk folkeparti","Københavns "," Utterslev"," Ukendt"," Steward "," 2300 København S"," Mand "," Nej ","Alle","6",856,"","6"
"54","Colette Brix",361,"Helt uenig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","venstre","Københavns "," Valby"," 65"," Selvstændig "," 2920 Charlottenlund"," Kvinde "," Ja ","Alle","8",987,"","5"
"55","Martin Geertsen",2576,"Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Delvist enig","venstre","Københavns "," Tårnby"," 45"," Cand.scient.pol. "," 2300 København S"," Mand "," Ja ","Alle","12",7004,"","1"
"56","Michael Jellesmark",197,"Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","venstre","Københavns "," Sundbyvester"," Ukendt"," Studerende "," 2770 Kastrup"," Mand "," Nej ","Alle","2",544,"","7"
"57","Karina Rohrberg Jessen",1003,"Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig","venstre","Københavns "," Vesterbro"," Ukendt"," Selvstændig "," 2300 København S"," Kvinde "," Nej ","Alle","9",2745,"","2"
"58","Jan E. Jørgensen",3254,"Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","venstre","Københavns "," Slots"," 50"," Advokat ","  Frederiksberg"," Mand "," Ja ","Alle","11",8500,"2K",""
"59","Anahita Malakians",229,"Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","venstre","Københavns "," Utterslev"," 32"," Studerende ","  København NV"," Kvinde "," Nej ","Alle","6",639,"","6"
"60","Kåre Traberg Smidt",598,"Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","venstre","Københavns "," Nørrebro"," Ukendt"," Advokat "," Ukendt"," Mand "," Nej ","Alle","5",1637,"","3"
"61","Johanne Schmidt-Nielsen",40425,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Københavns "," Nørrebro"," 31"," Studerende "," 2200 København N"," Kvinde "," Ja ","5.","1 ",44405,"1K",""
"62","Finn Sørensen",998,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Københavns "," Sundbyvester"," 68"," Arbejdsmand "," 2300 København S"," Mand "," Ja ","2.","2 ",2862,"2K",""
"63","Pelle Dragsted",2599,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Københavns "," Falkoner"," Ukendt"," Politisk rådgiver "," 2000 Frederiksberg C"," Mand "," Nej ","10.","3 ",3827,"3K",""
"64","Rosa Lund",1463,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig","enhedslisten","Københavns "," Vesterbro, Indre By"," 28"," Studerende "," 2200 København N"," Kvinde "," Ja ","9.","4 ",3956,"","1"
"65","Jette Gottlieb",724,"Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig","enhedslisten","Københavns "," Indre By"," 67"," Vejleder ","  København K"," Kvinde "," Nej ","3.","5 ",2551,"","2"
"66","Sarah Glerup",866,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Københavns "," Tårnby"," Ukendt"," Kommunikationsmedarbejder ","  Frederiksberg"," Kvinde "," Nej ","12.","6 ",1610,"","3"
"67","Mads Paulsen",198,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig","enhedslisten","Københavns "," Sundbyøster"," 25"," Studerende "," 2300 København S"," Mand "," Nej ","4.","9 ",2010,"","6"
"68","Thyge Enevoldsen",110,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Københavns "," Slots"," 63"," Studieleder ","  Frederiksberg"," Mand "," Nej ","11.","10 ",1353,"","7"
