"","Navn","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Stemmer_pers","Valgt_nr","Stedfor_nr"
"720","Britta Glargard","5.","5 ",1331,143,"","4"
"721","Emma Lyng Svensson","3.","6 ",1790,289,"","5"
"722","Miguel J. Valentine","6.","7 ",1142,193,"","6"
"723","Cæcilie Lyndgaard Andersen","9.","8 ",2366,274,"","7"
"724","Povl Erik Andersen","1.","9 ",1482,186,"","8"
"725","Uzma Ahmed","Alle","",1696,847,"","2"
"726","Nilas Bay-Foged","Alle","",708,353,"","5"
"727","Rolf Bjerre","Alle","",1996,991,"","1"
"728","Uffe Elbæk","Alle","Alle",37478,18796,"1K",""
"729","Morten Ellehauge","Alle","",374,186,"","8"
"730","Erik Valentin Fischer","Alle","",343,172,"","9"
"731","Rune Lundgaard Jørgensen","Alle","",585,292,"","6"
"732","Jan Kristoffersen","Alle","",343,171,"","10"
"733","Carolina Magdalene Maier","Alle","",2143,1073,"2K",""
"734","Jacob Fuglsang Mikkelsen","Alle","",387,194,"","7"
"735","Franciska Rosenkilde","Alle","",1534,766,"","3"
"736","Rune Wingård","Alle","",888,443,"","4"
"737","Qasam N. Ahmad","Alle","",2495,786,"","2"
"738","Ryan Lund","Alle","",1151,328,"","4"
"739","Bo Steen Mikkelsen","Alle","",1776,507,"","3"
"740","Ulla Sandbæk","Alle","Alle",4278,1233,"1T",""
"741","Anders Stjernholm","Alle","",3875,1153,"","1"
"742","Michael Macdonald Arnskov","Alle","",1333,288,"","2"
"743","Lasse Danielsen","Alle","",1094,238,"","3"
"744","Christian Poll","Alle","Alle",7452,1622,"1T",""
"745","Bina Seff","Alle","",3078,667,"","1"
"746","Anne Thomas","Alle","",1299,591,"","1"
"747","Carsten Bering","Alle","",1525,328,"","2"
"748","Jakob Jespersen","Alle","",1042,216,"","5"
"749","Lea Lie","Alle","",5743,1194,"","1"
"750","Jannie Nielsen","Alle","",1183,249,"","4"
"751","Rasmus Nordqvist","Alle","Alle",6362,1328,"1T",""
"752","Søren Rønhede","Alle","",906,198,"","6"
"753","Tanja Schjellerup","Alle","",1441,304,"","3"
"754","Nikolaj Amstrup","Alle","",3938,1035,"","1"
"755","Karl Magnus Bidstrup","Alle","",1821,429,"","3"
"756","Henrik Halle","Alle","",2506,532,"","2"
"757","Roger Matthisen","Alle","Alle",5109,1081,"1T",""
"758","Dan Westerholt","Alle","",791,169,"","4"
"759","Rune Nielsen Bjerremand","Alle","",1819,397,"","3"
"760","Kim Hyttel","Alle","Alle",3648,810,"","2"
"761","Hans-Jørgen Jagd","Alle","",889,196,"","5"
"762","Jane Knudsen","Alle","",3998,880,"","1"
"763","Bjarke Charlie Serritslev","Alle","",1197,263,"","4"
"764","Lena Agger","1. 3.","",277,130,"","12"
"765","Josephine Fock","Alle","1 2 7 8 10 11",11456,3775,"1K",""
"766","Vibeke Genefke","Alle","",1206,398,"","4"
"767","Julius Graakjær Grantzau","Alle","",1547,512,"","3"
"768","Niko Grünfeld","Alle","3 4 5 6 9",8630,2876,"","1"
"769","Jesper Nørgaard Kjær","Alle","",632,211,"","9"
"770","Tina Kjær","Alle","",1666,551,"","2"
"771","Lynge Korsgaard","Alle","",668,222,"","7"
"772","Anders Stenumgaard Lind","Alle","",1119,392,"","5"
"773","Lars Pallesen","Alle","",725,239,"","6"
"774","Thomas Risum Rasmussen","Alle","",439,144,"","11"
"775","Steen Rågård","Alle","",665,222,"","8"
"776","Alexander With","Alle","",557,184,"","10"
"777","René Gade","Alle","",4065,1112,"1T",""
"778","Jørn Trabjerg Pedersen","Alle","",1457,384,"","2"
"779","Sascha Qvortrup","Alle","Alle",3120,833,"","1"
"780","Torsten Gejl","Alle","Alle",5945,1433,"1T",""
"781","Kennith Nielsen","Alle","",588,142,"","3"
"782","Ulla Berndt Sørensen","Alle","",2410,583,"","1"
"783","Jørgen Vangsted","Alle","",1392,337,"","2"
"784","Kashif Ahmad","5.","",708,708,"",""
"785","Asif Ahmad","5.","",405,405,"",""
"786","Aleks Jensen","5.","",68,68,"",""
"787","Aamer Ahmad","2.","",136,136,"",""
"788","Poul Gundersen","4.","",52,52,"",""
"789","Erik Sputnik","10.","",116,116,"",""
"790","Hans Schultz","9.","",96,96,"",""
"791","Jan Elkjær","9.","",14,14,"",""
"792","Christian Olesen","6.","",80,80,"",""
"793","Gert Lassen","6.","",34,34,"",""
"794","Michael Christiansen","6.","",58,58,"",""
"795","Yahya Hassan","3.","",944,944,"",""
"796","Tom Gillesberg","5.","",149,149,"",""
"797","Bent A. Jespersen","11.","",25,25,"",""
"798","Peter Ymer Nielsen","1.","",99,99,"",""
"799","John Erik Wagner","2. 4.","",82,82,"",""
