"","Navn","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Stemmer_pers","Valgt_nr","Stedfor_nr"
"382","Kjeld Aagaard Kjærulff","Alle","",275,94,"","7"
"383","Keld Lorenzen","Alle","",1093,343,"","4"
"384","Leif Mikkelsen","Alle","1 2 3 4 5 6 7 10 11",10477,3591,"1K",""
"385","Steffen Troldtoft","Alle","",605,188,"","6"
"386","Christina Egelund","Alle","8 9",8468,3076,"1K",""
"387","Thyra Frank","Alle","1 2 3 4 5 6 7",7426,2768,"","1"
"388","Claus Hermansen","Alle","",919,340,"","5"
"389","Klaus Hjulmand","Alle","",1035,397,"","4"
"390","Martin K. Madsen","Alle","",1418,510,"","3"
"391","Bo Ritterbusch","Alle","",1860,736,"","2"
"392","Henrik Viholm","Alle","",681,228,"","6"
"393","Henrik Howardsen","Alle","5",442,120,"",""
"394","Sølve Jønsson","Alle","2",221,59,"",""
"395","Bess Serner-Pedersen","Alle","11",558,151,"",""
"396","Ingrid Feldbæk Wredstrøm","Alle","1 3 4 6",378,103,"",""
"397","Jihmmy Bach-Friis","Alle","4",240,102,"",""
"398","Kim Grenov","Alle","3",689,299,"",""
"399","Sara Sejergaard","Alle","7",436,187,"",""
"400","Stig Grenov","Alle","Alle",1536,1029,"",""
"401","Andreas Peters-Lehm","Alle","",93,62,"",""
"402","Gert Svendsen","Alle","",51,33,"",""
"403","Niels Chresten Andersen","Alle","1",363,217,"",""
"404","Bjarne Hartung Kirkegaard","Alle","2",386,235,"",""
"405","Mette Guldager","Alle","12",438,125,"",""
"406","Jacob Hellwing","Alle","3",98,30,"",""
"407","Egon Jakobsen","Alle","4 7 9",463,141,"",""
"408","Per Kristensen","Alle","8",226,59,"",""
"409","Lisbeth Rask Nielsen","Alle","1",234,86,"",""
"410","Lasse Rasmussen","Alle","5 6",108,30,"",""
"411","Martin Sørensen","Alle","10 11",181,57,"",""
"412","Henning Østergaard-Christensen","Alle","2",248,86,"",""
"413","Rise Eskildsen","Alle","6",239,64,"",""
"414","Anders Friis Knudsen","Alle","2",367,96,"",""
"415","Kim B. Laursen","Alle","3",115,30,"",""
"416","Simon Lavdal-Pedersen","Alle","",96,26,"",""
"417","Jens Ole Madsen","Alle","4",207,62,"",""
"418","Per Nansted","Alle","1 5",171,43,"",""
"419","Lilian Vigtoft-Jessen","Alle","",98,27,"",""
"420","Knud Erik Hansen","Alle","2",711,347,"",""
"421","Jens Schmidt Holm","Alle","5 6",389,170,"",""
"422","Birgit Jakobsen","Alle","8 9",1032,473,"",""
"423","Niels Møller Jessen","Alle","1 3 13",578,297,"",""
"424","Mogens Stig Nielsen","Alle","4 7",545,234,"",""
"425","Henri Nissen","Alle","10 11 12",1537,696,"",""
"426","Allan Axelsen","Alle","",292,114,"",""
"427","Mathias M. Brosbøl","Alle","2",524,203,"",""
"428","Sven-Erik Jørgensen","Alle","6 8",222,89,"",""
"429","Simon Overby Kristensen","Alle","10",230,85,"",""
"430","Kristian S. Larsen","Alle","9",325,128,"",""
"431","Isabella A. Laursen","Alle","1 3 4",1519,595,"",""
"432","Nils-Erik Mulvad","Alle","5 7",334,119,"",""
"433","Fridtjof Stidsen","Alle","11",732,328,"",""
"434","Esper Thidemann","Alle","",449,176,"",""
"435","Kristian Andersen","Alle","11",5136,3860,"",""
"436","Verner B. Andersen","Alle","6",79,50,"",""
"437","Karlo Brondbjerg","Alle","7",231,148,"",""
"438","Brian Christensen","Alle","10",252,163,"",""
"439","Knud Gaarn-Larsen","Alle","3",193,112,"",""
"440","Jens Ove Kjeldsen","Alle","5 8",816,522,"",""
"441","René Vester Kjær","Alle","2 4",160,91,"",""
"442","Troels Moesgaard","Alle","1",126,78,"",""
"443","Jens Kristian M. Nielsen","Alle","9",385,272,"",""
"444","Kirsten Nørgaard Nielsen","Alle","",78,51,"",""
"445","Jacob Rabjerg","Alle","",190,118,"",""
"446","Lene Meng Andersen","Alle","2",202,90,"",""
"447","Britta Eckhardt","Alle","3",272,128,"",""
"448","Nick Hansen","Alle","7 8 9",1505,673,"",""
"449","Ruth Tidemand Nielsen","Alle","1",471,215,"",""
"450","Inger Ottesen","Alle","4 5 6",880,370,"",""
"451","Preben Bille Brahe","Alle","8",713,272,"","7"
"452","Jette Dali","Alle","11",1513,598,"","3"
"453","Morten Dreyer","Alle","10",1419,585,"","5"
"454","Søren Lund Hansen","Alle","9",444,168,"","10"
"455","Martin Henriksen","Alle","12",7625,3094,"2K",""
"456","Paw Karslund","Alle","2",2986,1301,"","1"
"457","Else-Marie Madsen","Alle","3",502,195,"","9"
"458","Githa Nelander","Alle","5",646,248,"","8"
"459","Finn Rudaizky","Alle","4",2844,1121,"","2"
"460","Peter Skaarup","Alle","7",28555,11402,"1K",""
"461","Karin Storgaard","Alle","1",1472,573,"","4"
"462","Jens Vornøe","Alle","6",856,337,"","6"
"463","Kenneth Kristensen Berth","Alle","7",2542,1348,"3K",""
"464","Anna Hede Christensen","Alle","1",1894,996,"","2"
"465","Mikkel Dencker","Alle","5",2893,1536,"2K",""
"466","Aia Fog","Alle","6",789,420,"","4"
"467","Pia Kjærsgaard","Alle","8",50397,26583,"1K",""
"468","Helge Larsen","Alle","4",768,391,"","5"
"469","Anette Skafte","Alle","2",1022,531,"","3"
"470","Kristian Tørning","Alle","3",2114,1110,"","1"
"471","Pia Adelsteen","Alle","5",14057,3179,"2K",""
"472","Marlene Harpsøe","Alle","3",15094,3521,"1K",""
"473","Gitte Hemmingsen","Alle","4",6699,1659,"","2"
"474","Lucas Hultgren","Alle","2",2239,516,"","3"
"475","Glen Madsen","Alle","1",7166,1743,"","1"
"476","Jan Erik Messmann","Alle","6",8725,1888,"1T",""
"477","Jørgen Mundt Andersen","Alle","1",587,246,"","2"
"478","Jess Christian Persson","Alle","2",4581,1911,"","1"
"479","Liselott Blixt","Alle","6",19248,5981,"2K",""
"480","Henrik Brodersen","Alle","5",7657,2450,"6K",""
"481","Gert Poul Christensen","Alle","7",2445,786,"","5"
"482","René Christensen","Alle","2",15037,8180,"3K",""
"483","Søren Espersen","Alle","10",42873,14482,"1K",""
"484","Heino Hahn","Alle","3",3206,1201,"","4"
"485","Jeppe Jakobsen","Alle","9",6801,2255,"1T",""
"486","Merete Dea Larsen","Alle","8",10816,3511,"5K",""
"487","Karin Nødgaard","Alle","12",12542,4298,"4K",""
"488","Per Nørhave","Alle","11",5767,1996,"","1"
"489","Thomas Palmskov","Alle","4",4375,1378,"","2"
"490","Eric Steffensen","Alle","1",3428,1372,"","3"
"491","Alex Ahrendtsen","Alle","3",13702,4996,"2K",""
"492","Pernille Bendixen","Alle","2",9524,3491,"3K",""
"493","Jens Henrik W. Thulesen Dahl","Alle","4",26573,9923,"1K",""
"494","Jesper Krarup","Alle","5",2947,1020,"","2"
"495","Carsten Kudsk","Alle","6",5098,1874,"","1"
"496","Åge Priisholm","Alle","8",1556,561,"","3"
"497","Betina Signe Stick","Alle","1",1365,501,"","4"
"498","Dorthe Ullemose","Alle","7",7148,2670,"1T",""
"499","Jack Abilslund-Gregersen","Alle","5",1457,892,"","3"
"500","Karina Adsbøl","Alle","12",4989,3101,"4K",""
"501","Jan Rytkjær Callesen","Alle","1",5097,2972,"3K",""
"502","Kristian Thulesen Dahl","Alle","8",90724,57371,"1K",""
"503","Frank Nørgaard Dam","Alle","11",539,332,"","7"
"504","Susanne Eilersen","Alle","4",3940,2421,"6K",""
"505","Julie Gottschalk","Alle","3",2585,1555,"","2"
"506","Kristina Jørgensen","Alle","7",3494,2185,"","1"
"507","Marie Krarup","Alle","6",4026,2436,"5K",""
"508","Svend Erik Nielsen","Alle","13",1445,866,"","4"
"509","Kenneth Fredslund Petersen","Alle","9",1078,698,"","5"
"510","Peter Kofod Poulsen","Alle","2",5623,3336,"2K",""
"511","Jesper Strøm","Alle","10",1061,652,"","6"
"512","Johnny F. Andresen","Alle","1",3614,922,"","4"
"513","Tilde Bork","Alle","11",11686,3198,"3K",""
"514","Hans Braad","Alle","3",2520,609,"","6"
"515","Hans Kristian Bundgaard-Skibby","Alle","10",15310,4992,"2K",""
"516","Kim Christiansen","Alle","5",10712,2874,"4K",""
"517","Per Dalgaard","Alle","8",5721,1497,"","1"
"518","Mette Hjermind Dencker","Alle","9",23171,6218,"1K",""
"519","Claus Kvist Hansen","Alle","7",6251,1564,"1T",""
"520","Knud N. Mathiesen","Alle","2",5613,1342,"","2"
"521","Michael Nedersøe","Alle","4",4187,1136,"","3"
"522","Hans Henrik Sørensen","Alle","6",2836,694,"","5"
"523","Martin Lange Andersen","Alle","9",2208,861,"","8"
"524","Preben Andersen","Alle","3",6576,2735,"","1"
"525","Karina Due","Alle","5",8096,2848,"3K",""
"526","Dennis Flydtkjær","Alle","11",20768,9097,"1K",""
"527","Anders Ladegaard","Alle","2",2662,1096,"","6"
"528","Christian Langballe","Alle","4",10779,3887,"2K",""
"529","Jette Lund","Alle","1",5695,2231,"","2"
"530","Richardt G. B. Møller","Alle","10",2868,1124,"","5"
"531","Peter Pedersen","Alle","6",3672,1250,"","4"
"532","Jan Berg Rasmussen","Alle","8",3794,1455,"","3"
"533","Alex Rosenbæk","Alle","7",2539,827,"","7"
"534","Lise Bech","Alle","4",12951,4181,"3K",""
"535","Bent Bøgsted","Alle","1",21534,6862,"1K",""
"536","Tommy Degn","Alle","5",7272,2231,"","2"
"537","Erik Høgh-Sørensen","Alle","3",4136,1370,"","3"
"538","Gert Ingolf Johansen","Alle","9",3142,913,"","5"
"539","Morten Marinus","Alle","7",13021,4181,"2K",""
"540","Ib Poulsen","Alle","2",7881,2901,"4K",""
"541","Laila Sortland","Alle","8",3661,1100,"","4"
"542","Kristoffer Hjort Storm","Alle","6",7562,2263,"","1"
"543","Colette Brix","Alle","8",987,361,"","5"
"544","Martin Geertsen","Alle","12",7004,2576,"","1"
"545","Michael Jellesmark","Alle","2",544,197,"","7"
"546","Karina Rohrberg Jessen","Alle","9",2745,1003,"","2"
"547","Jan E. Jørgensen","Alle","11",8500,3254,"2K",""
"548","Michael Lange","Alle","4",1093,395,"","4"
"549","Anahita Malakians","Alle","6",639,229,"","6"
"550","Søren Pind","Alle","1",20903,7706,"1K",""
"551","Uffe Ploug","Alle","3",300,109,"","8"
"552","Sven Aage Schlosrich","Alle","7",221,80,"","9"
"553","Kåre Traberg Smidt","Alle","5",1637,598,"","3"
"554","Søren Sørensen","Alle","10",148,54,"","10"
"555","Ömer Ciftci","Alle","4",1516,594,"","5"
"556","Morten Munk Ebbesen","Alle","1",738,307,"","6"
"557","Karen Ellemann","Alle","6",17276,7020,"1K",""
"558","Jakob Engel-Schmidt","Alle","2",5372,2296,"","1"
"559","Mads Fuglede","Alle","3",4775,1968,"","2"
"560","Karl Erik Høholt Jensen","Alle","5",1707,649,"","4"
"561","Morten Løkkegaard","Alle","8",11409,4676,"2K",""
"562","Tina Nedergaard","Alle","7",3299,1287,"","3"
"563","Hans Andersen","Alle","4",9386,5447,"3K",""
"564","Claus Hjort Frederiksen","Alle","6",16067,8222,"2K",""
"565","Søren Hyldgaard","Alle","1",2776,1396,"","3"
"566","Tinne Borch Jacobsen","Alle","2",3317,1675,"","2"
"567","Sophie Løhde","Alle","5",22560,11832,"1K",""
"568","Klaus Markussen","Alle","3",5049,2663,"","1"
"569","Peter Juel Jensen","Alle","",4735,3676,"1K",""
"570","Else Merete Knoop","Alle","",146,113,"","2"
"571","Carsten Scheibye","Alle","",376,292,"","1"
"572","Claus Bakke","Alle","1",2136,1607,"","6"
"573","Morten Dahlin","Alle","12",4608,2986,"","1"
"574","Louise Schack Elholm","Alle","11",4743,3185,"1T",""
"575","Jens Hald","Alle","9",2383,1569,"","5"
"576","Bertel Haarder","Alle","7",7902,5222,"4K",""
"577","Jacob Jensen","Alle","10",8509,5864,"3K",""
"578","Marcus Knuth","Alle","3",9986,7351,"2K",""
"579","Flemming Damgaard Larsen","Alle","8",3260,2133,"","4"
"580","Karsten Nonbo","Alle","4",4548,3049,"","2"
"581","Vibeke Nørly","Alle","5",1809,1242,"","7"
"582","Lars Løkke Rasmussen","Alle","6",49265,33393,"1K",""
"583","Benedikte Ask Skotte","Alle","2",3669,2645,"","3"
"584","Marlene Ambo-Rasmussen","Alle","2",4348,2239,"","2"
"585","Erling Bonnesen","Alle","7",15857,9034,"1K",""
"586","Mark Grossmann","Alle","1",4351,2199,"","1"
"587","Jane Heitmann","Alle","4",8307,4677,"3K",""
"588","Claus Houden","Alle","3",2107,1052,"","5"
"589","Lars Chr. Lilleholt","Alle","5",15705,8161,"2K",""
"590","Anne Katrine Melvig","Alle","6",3375,1820,"","3"
"591","Ole Pedersen","Alle","8",2623,1534,"","4"
