"name","party","storkreds","lokalkreds","age","is.male","title","location","elected","votes.pers","votes.all","valgt.nr","stedfor.nr","opstillet.i.kreds.nr","nomineret.i.kreds.nr","ran.last.election","UDDANNELSE__Efter.folkeskolereformen.får.eleverne.for.lange.skoledage","FOREBYGGELSE__Afgiften.på.cigaretter.skal.sættes.op","SUNDHED__Et.besøg.hos.den.praktiserende.læge.skal.koste.eksempelvis.100.kr.","VELFÆRD__Mere.af.ældreplejen.skal.udliciteres.til.private.virksomheder","ARBEJDSMARKED__Man.skal.hurtigere.kunne.genoptjene.retten.til.dagpenge","ARBEJDSMARKED__Virksomheder.skal.kunne.drages.til.ansvar.for..om.deres.udenlandske.underleverandører.i.Danmark.overholder.danske.regler.om.løn..moms.og.skat","ØKONOMI__Vækst.i.den.offentlige.sektor.er.vigtigere.end.skattelettelser","TRAFIK__Investeringer.i.kollektiv.trafik.skal.prioriteres.højere.end.investeringer.til.fordel.for.privatbilisme","RET__Straffen.for.grov.vold.og.voldtægt.skal.skærpes","INTEGRATION__Offentlige.institutioner.i.Danmark.tager.for.mange.hensyn.til.religiøse.minoriteter","EU__EU.bestemmer.for.meget.i.forhold.til.dansk.lov","UDVIKLING__Ulandsbistanden.skal.sænkes","KULTUR__Den.offentlige.kulturstøtte.skal.sænkes"
"Zenia Stampe","b","Sjællands "," Næstved, Roskilde",36,FALSE," Cand.scient.pol. "," Ukendt",TRUE,4564,8237,"1T","","Alle","4 8",FALSE,"Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Jeppe Trolle","b","Sjællands "," Greve",46,TRUE," Underviser "," 4000 Roskilde",FALSE,348,621,"","4","Alle","7",FALSE,"Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig"
"Emrah Tuncer","b","Sjællands "," Kalundborg",37,TRUE," Forstander "," 4300 Holbæk",FALSE,1095,1860,"","2","Alle","10",TRUE,"Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig"
"Brigitte Klintskov Jerkel","c","Sjællands "," Greve",46,FALSE," Socialrådgiver "," 2670 Greve",FALSE,1236,2013,"","1","Alle","7",FALSE,"Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig"
"Rune Kristensen","c","Sjællands "," Guldborgsund, Slagelse",33,TRUE," cand.scient.pol. "," 1151 København K",FALSE,567,879,"","5","Alle","2 12",FALSE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Brian Mikkelsen","c","Sjællands "," Holbæk, Kalundborg",49,TRUE," Fhv. minister "," 2900 Hellerup",TRUE,4398,7044,"1T","","Alle","9 10 11",FALSE,"Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig"
"Flemming Stenild","f","Sjællands "," Lolland",69,TRUE," Pensionist "," 4880 Nysted",FALSE,607,1333,"","4","Alle","1",FALSE,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Meta Fuglsang","f","Sjællands "," Slagelse",55,FALSE," Konsulent "," 4760 Vordingborg",FALSE,1079,2830,"","2","Alle","12",FALSE,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Ulla Birk Johansen","f","Sjællands "," Vordingborg",50,FALSE," Kredsnæstformand "," 4720 Præstø",FALSE,465,1037,"","6","Alle","3",TRUE,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Annemette Schønberg Johnsen","f","Sjællands "," Guldborgsund",56,FALSE," Bibliotekar "," 4800 Nykøbing F",FALSE,304,750,"","8","Alle","2",TRUE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Hans Kristiansen","f","Sjællands "," Greve",69,TRUE," Pensionist "," 2690 Karlslunde",FALSE,131,388,"","11","Alle","7",TRUE,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Trine Mach","f","Sjællands "," Næstved",46,FALSE," Programleder "," 2200 København N",FALSE,942,2304,"","3","Alle","4",FALSE,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Jacob Mark","f","Sjællands "," Køge",24,TRUE," Studerende "," 4600 Køge",TRUE,2948,5820,"1K","","Alle","6",TRUE,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Ronja Rose Ravnskov","f","Sjællands "," Ringsted",20,FALSE," Tjener "," 4180 Sorø",FALSE,428,1130,"","5","Alle","11",TRUE,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig"
"Dorte Skovgård","f","Sjællands "," Kalundborg",56,FALSE," Indvandrerlærer ","  København V",FALSE,291,867,"","7","Alle","10",FALSE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Villum Christensen","i","Sjællands "," Storkredskandidat, Slagelse",61,TRUE," Institutleder "," 4200 Slagelse",TRUE,2451,9137,"1K","","Alle","1 2 3 5 8 9 10 11 12",FALSE,"Helt enig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig"
