"name","party","storkreds","lokalkreds","age","is.male","title","location","elected","votes.pers","votes.all","valgt.nr","stedfor.nr","opstillet.i.kreds.nr","nomineret.i.kreds.nr","ran.last.election","UDDANNELSE__Efter.folkeskolereformen.får.eleverne.for.lange.skoledage","FOREBYGGELSE__Afgiften.på.cigaretter.skal.sættes.op","SUNDHED__Et.besøg.hos.den.praktiserende.læge.skal.koste.eksempelvis.100.kr.","VELFÆRD__Mere.af.ældreplejen.skal.udliciteres.til.private.virksomheder","ARBEJDSMARKED__Man.skal.hurtigere.kunne.genoptjene.retten.til.dagpenge","ARBEJDSMARKED__Virksomheder.skal.kunne.drages.til.ansvar.for..om.deres.udenlandske.underleverandører.i.Danmark.overholder.danske.regler.om.løn..moms.og.skat","ØKONOMI__Vækst.i.den.offentlige.sektor.er.vigtigere.end.skattelettelser","TRAFIK__Investeringer.i.kollektiv.trafik.skal.prioriteres.højere.end.investeringer.til.fordel.for.privatbilisme","RET__Straffen.for.grov.vold.og.voldtægt.skal.skærpes","INTEGRATION__Offentlige.institutioner.i.Danmark.tager.for.mange.hensyn.til.religiøse.minoriteter","EU__EU.bestemmer.for.meget.i.forhold.til.dansk.lov","UDVIKLING__Ulandsbistanden.skal.sænkes","KULTUR__Den.offentlige.kulturstøtte.skal.sænkes"
"Yildiz Akdogan","a","Københavns "," Brønshøj",42,FALSE," cand.scient.pol. "," 2200 København N",TRUE,4284,7037,"3K","","Alle","7",FALSE,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Sine Heltberg","a","Københavns "," Slots",39,FALSE," Ukendt ","  Frederiksberg",FALSE,827,1363,"","3","Alle","11",TRUE,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Özkan Kocak","a","Københavns "," Sundbyøster",39,TRUE," Ukendt "," 2600 Glostrup",FALSE,913,1515,"","2","Alle","4",TRUE,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig"
"Lars Aslan Rasmussen","a","Københavns "," Nørrebro",36,TRUE," Folkeskolelærer "," 2300 København S",FALSE,1447,2368,"","1","Alle","5",TRUE,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig"
"Mette Reissmann","a","Københavns "," Valby",52,FALSE," MF "," 2100 København Ø",TRUE,2962,4880,"4K","","Alle","8",FALSE,"Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig"
"Dennis Schnell-Lauritzen","a","Københavns "," Sundbyvester",45,TRUE," cand.jur. "," 2300 København S",FALSE,508,841,"","4","Alle","2",TRUE,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt uenig"
"Kristian Westfall","a","Københavns "," Vesterbro",36,TRUE," cand.soc. "," 2200 København N",FALSE,324,528,"","6","Alle","9",TRUE,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Pernille Boye Koch","b","Københavns "," Østerbro",44,FALSE," Universitetslektor "," 2720 Vanløse",FALSE,867,1547,"","4","Alle","1",FALSE,"Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig"
"Samira Nawa Amini","b","Københavns "," Utterslev",27,FALSE," Fuldmægtig ","  Roskilde",FALSE,1790,3208,"","2","Alle","6",TRUE,"Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig"
"Ida Auken","b","Københavns "," Vesterbro",37,FALSE," Fhv. minister ","  Frederiksberg",TRUE,10431,18600,"1K","","Alle","9",FALSE,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"Søren Burcharth","b","Københavns "," Brønshøj",52,TRUE," Teamchef ","  Vanløse",FALSE,191,338,"","10","Alle","7",TRUE,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"Sophie Danneris","b","Københavns "," Sundbyvester",29,FALSE," cand.scient.soc. ","  København S",FALSE,423,757,"","6","Alle","2",TRUE,"Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig"
"Karsten Lauritsen","b","Københavns "," Slots",50,TRUE," Direktør ","  Frederiksberg",FALSE,177,315,"","11","Alle","11",FALSE,"Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Lone Loklindt","b","Københavns "," Falkoner",55,FALSE," CSR-konsulent "," 1825 Frederiksberg C",FALSE,1134,2004,"","3","Alle","10",FALSE,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"Manu Sareen","b","Københavns "," Nørrebro",48,TRUE," Minister for Børn, Ligestilling, Integration og Sociale Forhold ","  Frederiksberg C",FALSE,6168,11001,"","1","Alle","5",FALSE,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"André Just Vedgren","b","Københavns "," Sundbyøster",45,TRUE," Cand.it. "," 2300 København S",FALSE,323,576,"","7","Alle","4",TRUE,"Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig"
"Niels Wanning","b","Københavns "," Valby",35,TRUE," Rådgiver ","  København V",FALSE,268,477,"","9","Alle","8",TRUE,"Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig"
"Helle Bonnesen","c","Københavns "," Sundbyøster, Vesterbro, Østerbro",52,FALSE," cand.merc. "," 2300 København Ø",FALSE,1430,2968,"","2","Alle","1 4 9",FALSE,"Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig"
"Lars Barfoed","c","Københavns "," Brønshøj, Falkoner, Slots",58,TRUE," Fhv. minister, cand. jur. ","  Frederiksberg",FALSE,2606,5343,"","1","Alle","7 10 11",FALSE,"Helt enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig"
"Josefine Kofoed","c","Københavns "," Dragør, Tårnby",29,FALSE," stud.scient.pol. "," Ukendt",FALSE,1209,2474,"","3","Alle","12",TRUE,"Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig"
"Søren-Michael Pihl","c","Københavns "," Sundbyvester, Valby",58,TRUE," Interim manager "," 2100 København Ø",FALSE,257,541,"","5","Alle","2 8",TRUE,"Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt enig"
"Sisse Marie Welling","f","Københavns "," Østerbro, Valby, Sundbyvester, Tårnby",29,FALSE," Fuldmægtig "," 2200 København N",FALSE,727,1115,"","2","Alle","1 2 8 12",TRUE,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig"
"Balder Mørk Andersen","f","Københavns "," Storkredskandidat",39,TRUE," Konsulent ","  Frederiksberg",FALSE,400,602,"","4","Alle","",FALSE,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Neil Bloem","f","Københavns "," Storkredskandidat",33,TRUE," Studerende "," 2200 København N",FALSE,278,424,"","5","Alle","",TRUE,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Özlem Sara Cekic","f","Københavns "," Vesterbro, Indre by, Utterslev, Falkoner",39,FALSE," Sygeplejerske "," 2770 Kastrup",FALSE,6542,9947,"","1","Alle","3 6 9 10",FALSE,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Leif Donbæk","f","Københavns "," Storkredskandidat",31,TRUE," Stud.jur. "," 2200 København N",FALSE,104,160,"","9","Alle","",TRUE,"Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Pia Olsen Dyhr","f","Københavns "," Nørrebro, Brønshøj, Sundbyøster, Slots",43,FALSE," Partiformand "," 2700 Brønshøj",TRUE,9575,14487,"1K","","Alle","4 5 7 11",FALSE,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Kathrine Jensen","f","Københavns "," Ukendt",31,FALSE," Kandidat i Asienstudier ","  København V",FALSE,116,179,"","8","Alle","",TRUE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Klaus Mygind","f","Københavns "," Storkredskandidat",60,TRUE," Konsulent "," 2300 København S",FALSE,147,224,"","6","Alle","",TRUE,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Jonas Niemann","f","Københavns "," Storkredskandidat",25,TRUE," Kemiker "," 2100 København Ø",FALSE,119,183,"","7","Alle","",TRUE,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Kasper Nordborg Kiær","f","Københavns "," Storkredskandidat",29,TRUE," Folkeskolelærer "," 2300 København S",FALSE,456,695,"","3","Alle","",TRUE,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig"
"Halime Oguz","f","Københavns "," Storkredskandidat",45,FALSE," cand.mag. / integrationsvejleder "," Ukendt",FALSE,73,114,"","11","Alle","",TRUE,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Kirsten Sloth","f","Københavns "," Storkredskandidat",50,FALSE," Administrativ sagsbehandler ","  København K",FALSE,85,130,"","10","Alle","",TRUE,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Simon Emil Ammitzbøll","i","Københavns "," Storkredskandidat",38,TRUE," MF "," 2100 København Ø",TRUE,6904,21794,"1K","","Alle","1 2 3 4 5 6 7 9 12",FALSE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Karina Bergmann","i","Københavns "," Storkredskandidat",30,FALSE," Sælger "," 2200 København N",FALSE,643,2067,"","2","Alle","",TRUE,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt enig"
"Rasmus Boserup","i","Københavns "," Storkredskandidat",33,TRUE," IT-chef "," 2770 Kastrup",FALSE,224,710,"","5","Alle","",TRUE,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig"
"Patrick Donovan","i","Københavns "," Storkredskandidat",40,TRUE," Konsulent "," 2450 København SV",FALSE,251,792,"","4","Alle","",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Søren Juliussen","i","Københavns "," Storkredskandidat",26,TRUE," Mediegrafiker "," 2400 København NV",FALSE,203,641,"","6","Alle","",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Kasper Heumann Kristensen","i","Københavns "," Storkredskandidat",38,TRUE," Direktør "," 2200 København N",FALSE,471,1501,"","3","Alle","",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Laura Lindahl","i","Københavns "," Østerbro",32,FALSE," Rådmand "," 1813 Frederiksberg C",TRUE,2691,8310,"1T","","Alle","8 10 11",FALSE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Danny K. Malkowski","i","Københavns "," Storkredskandidat",31,TRUE," Selvstændig "," 2400 København NV",FALSE,670,2120,"","1","Alle","",TRUE,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist enig"
"Henrik Howardsen","k","Københavns "," Nørrebro",51,TRUE," Sygeplejerske "," 2200 København N",FALSE,120,442,"","","Alle","5",TRUE,"Helt enig","Helt enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","Delvist enig"
"Sølve Jønsson","k","Københavns "," Sundbyvester",41,FALSE," Bibliotekar "," 2300 København S",FALSE,59,221,"","","Alle","2",TRUE,"Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig"
"Bess Serner-Pedersen","k","Københavns "," Slots, Brønshøj, Vanløse",64,FALSE," Sekretær "," 2720 Vanløse",FALSE,151,558,"","","Alle","11",FALSE,"Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Preben Bille Brahe","o","Københavns "," Valby",51,TRUE," Kaptajn "," 2942 Skodsborg",FALSE,272,713,"","7","Alle","8",TRUE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig"
"Morten Dreyer","o","Københavns "," Falkoner",68,TRUE," IT-konsulent "," 2791 Dragør",FALSE,585,1419,"","5","Alle","10",FALSE,"Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt enig","Helt enig","Delvist uenig"
"Søren Lund Hansen","o","Københavns "," Vesterbro",41,TRUE," Logistikchef "," 4200 Slagelse",FALSE,168,444,"","10","Alle","9",TRUE,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig"
"Martin Henriksen","o","Københavns "," Tårnby",35,TRUE," Chauffør "," 2791 Dragør",TRUE,3094,7625,"2K","","Alle","12",FALSE,"Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist enig"
"Paw Karslund","o","Københavns "," Sundbyvester",42,TRUE," Flyportør "," 2791 Dragør",FALSE,1301,2986,"","1","Alle","2",FALSE,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig"
"Else-Marie Madsen","o","Københavns "," Indre By",65,FALSE," Efterlønsmodtager ","  Allerød",FALSE,195,502,"","9","Alle","3",TRUE,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig"
"Githa Nelander","o","Københavns "," Nørrebro",54,FALSE," Businesscoach "," 4700 Næstved",FALSE,248,646,"","8","Alle","5",FALSE,"Helt enig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Delvist enig"
"Finn Rudaizky","o","Københavns "," Sundbyøster",73,TRUE," Borgerrepræsentationsmedlem "," 1414 København K",FALSE,1121,2844,"","2","Alle","4",FALSE,"Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Delvist enig"
"Jens Vornøe","o","Københavns "," Utterslev",45,TRUE," Steward "," 2300 København S",FALSE,337,856,"","6","Alle","6",TRUE,"Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Colette Brix","v","Københavns "," Valby",65,FALSE," Selvstændig "," 2920 Charlottenlund",FALSE,361,987,"","5","Alle","8",FALSE,"Helt uenig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig"
"Martin Geertsen","v","Københavns "," Tårnby",45,TRUE," Cand.scient.pol. "," 2300 København S",FALSE,2576,7004,"","1","Alle","12",FALSE,"Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Delvist enig"
"Michael Jellesmark","v","Københavns "," Sundbyvester",45,TRUE," Studerende "," 2770 Kastrup",FALSE,197,544,"","7","Alle","2",TRUE,"Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Karina Rohrberg Jessen","v","Københavns "," Vesterbro",49,FALSE," Selvstændig "," 2300 København S",FALSE,1003,2745,"","2","Alle","9",TRUE,"Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig"
"Jan E. Jørgensen","v","Københavns "," Slots",50,TRUE," Advokat ","  Frederiksberg",TRUE,3254,8500,"2K","","Alle","11",FALSE,"Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig"
"Anahita Malakians","v","Københavns "," Utterslev",32,FALSE," Studerende ","  København NV",FALSE,229,639,"","6","Alle","6",TRUE,"Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt enig","Hverken enig eller uenig"
"Kåre Traberg Smidt","v","Københavns "," Nørrebro",43,TRUE," Advokat "," Ukendt",FALSE,598,1637,"","3","Alle","5",TRUE,"Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Johanne Schmidt-Nielsen","oe","Københavns "," Nørrebro",31,FALSE," Studerende "," 2200 København N",TRUE,40425,44405,"1K","","5.","1 ",FALSE,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Finn Sørensen","oe","Københavns "," Sundbyvester",68,TRUE," Arbejdsmand "," 2300 København S",TRUE,998,2862,"2K","","2.","2 ",FALSE,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Pelle Dragsted","oe","Københavns "," Falkoner",40,TRUE," Politisk rådgiver "," 2000 Frederiksberg C",TRUE,2599,3827,"3K","","10.","3 ",TRUE,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Rosa Lund","oe","Københavns "," Vesterbro, Indre By",28,FALSE," Studerende "," 2200 København N",FALSE,1463,3956,"","1","9.","4 ",FALSE,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist uenig"
"Jette Gottlieb","oe","Københavns "," Indre By",67,FALSE," Vejleder ","  København K",FALSE,724,2551,"","2","3.","5 ",TRUE,"Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Sarah Glerup","oe","Københavns "," Tårnby",30,FALSE," Kommunikationsmedarbejder ","  Frederiksberg",FALSE,866,1610,"","3","12.","6 ",TRUE,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Mads Paulsen","oe","Københavns "," Sundbyøster",25,TRUE," Studerende "," 2300 København S",FALSE,198,2010,"","6","4.","9 ",TRUE,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt uenig","Delvist uenig"
"Thyge Enevoldsen","oe","Københavns "," Slots",63,TRUE," Studieleder ","  Frederiksberg",FALSE,110,1353,"","7","11.","10 ",TRUE,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Katrine Toft Mikkelsen","oe","Københavns "," Brønshøj",44,FALSE," Cand.scient.pol. "," 2700 Brønshøj",FALSE,187,2438,"","9","7.","12 ",TRUE,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Uffe Elbæk","aa","Københavns "," Ukendt",61,TRUE," Fhv. minister "," 1826 Frederiksberg C",TRUE,18796,37478,"1K","","Alle","Alle",FALSE,"Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Nilas Bay-Foged","aa","Københavns "," Ukendt",37,TRUE," Cand.scient.adm "," 2300 København S",FALSE,353,708,"","5","Alle","",TRUE,"Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Rolf Bjerre","aa","Københavns "," Nørrebro, Brønshøj",36,TRUE," Timebankskoordinator "," 2200 København N",FALSE,991,1996,"","1","Alle","",TRUE,"Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt uenig","Delvist uenig"
"Morten Ellehauge","aa","Københavns "," Nørrebro",53,TRUE," Leder "," 2200 København N",FALSE,186,374,"","8","Alle","",TRUE,"Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig"
"Erik Valentin Fischer","aa","Københavns "," Sundbyvester",42,TRUE," Handelslærer "," 2300 København S",FALSE,172,343,"","9","Alle","",TRUE,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Jan Kristoffersen","aa","Københavns "," Ukendt",41,TRUE," Selvstændig "," 2720 Vanløse",FALSE,171,343,"","10","Alle","",TRUE,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Delvist enig"
"Carolina Magdalene Maier","aa","Københavns "," Slots",41,FALSE," Centerleder, Videnscenter for Patientstøtte ","  Frederiksberg",TRUE,1073,2143,"2K","","Alle","",TRUE,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
