Navn,Stemmer,Uddannelse,Forebyggelse,Sundhed,Velfærd,Arbejdsmarked_1,Arbejdsmarked_2,Økonomi,Trafik,Ret,Social,Integration,EU,Udvikling,Miljø,Kultur,Parti,Storkreds,Lokalkreds,Alder,Titel,Bopæl,Køn,Valgt_ved_sidste_valg
Yildiz Akdogan,4284,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Københavns , Brønshøj, 42, cand.scient.pol. , 2200 København N, Kvinde , Ja 
Sine Heltberg,827,Helt uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Delvist enig,Helt uenig,socialdemokraterne,Københavns , Slots, Ukendt, Ukendt ,  Frederiksberg, Kvinde , Nej 
Özkan Kocak,913,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,Delvist enig,Delvist uenig,socialdemokraterne,Københavns , Sundbyøster, 39, Ukendt , 2600 Glostrup, Mand , Nej 
Lars Aslan Rasmussen,1447,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt enig,Helt enig,Helt enig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Helt uenig,Helt enig,Delvist uenig,socialdemokraterne,Københavns , Nørrebro, Ukendt, Folkeskolelærer , 2300 København S, Mand , Nej 
Mette Reissmann,2962,Delvist uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Københavns , Valby, 52, MF , 2100 København Ø, Kvinde , Ja 
Dennis Schnell-Lauritzen,508,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,socialdemokraterne,Københavns , Sundbyvester, Ukendt, cand.jur. , 2300 København S, Mand , Nej 
Simon Sjørup Simonsen,287,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt uenig,Helt enig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,socialdemokraterne,Københavns , Indre By, 45, Ph.d. , 2200 København N, Mand , Nej 
Peter Hummelgård Thomsen,5065,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Københavns , Tårnby, Ukendt, Konsulent ,  København V, Mand , Nej 
Kristian Westfall,324,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Helt uenig,socialdemokraterne,Københavns , Vesterbro, 36, cand.soc. , 2200 København N, Mand , Nej 
Pernille Boye Koch,867,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Delvist enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Delvist uenig,radikale venstre,Københavns , Østerbro, 45, Universitetslektor , 2720 Vanløse, Kvinde , Ja 
Samira Nawa Amini,1790,Delvist enig,Delvist enig,Helt uenig,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,radikale venstre,Københavns , Utterslev, 27, Fuldmægtig ,  Roskilde, Kvinde , Nej 
Ida Auken,10431,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Københavns , Vesterbro, 37, Fhv. minister ,  Frederiksberg, Kvinde , Ja 
Søren Burcharth,191,Helt uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,radikale venstre,Københavns , Brønshøj, Ukendt, Teamchef ,  Vanløse, Mand , Nej 
Sophie Danneris,423,Delvist uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,radikale venstre,Københavns , Sundbyvester, 29, cand.scient.soc. ,  København S, Kvinde , Nej 
Karsten Lauritsen,177,Helt uenig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Helt enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,radikale venstre,Københavns , Slots, 50, Direktør ,  Frederiksberg, Mand , Ja 
Lone Loklindt,1134,Helt uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Delvist uenig,Helt enig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,radikale venstre,Københavns , Falkoner, 55, CSR-konsulent , 1825 Frederiksberg C, Kvinde , Ja 
Mia Nyegård,696,Hverken enig eller uenig,Delvist uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Delvist uenig,Delvist enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Delvist uenig,radikale venstre,Københavns , Indre By, 41, Adm. Direktør ,  København K, Kvinde , Ja 
Manu Sareen,6168,Helt uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Københavns , Nørrebro, 48," Minister for Børn, Ligestilling, Integration og Sociale Forhold ",  Frederiksberg C, Mand , Ja 
Christian Peter Schmidt-Sørensen Dragsdahl Scharling,286,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Helt enig,Delvist uenig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Delvist uenig,radikale venstre,Københavns , Tårnby, Ukendt, Studerende , 2300 København S, Mand , Nej 
André Just Vedgren,323,Delvist uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,radikale venstre,Københavns , Sundbyøster, Ukendt, Cand.it. , 2300 København S, Mand , Nej 
Niels Wanning,268,Delvist uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,radikale venstre,Københavns , Valby, Ukendt, Rådgiver ,  København V, Mand , Nej 
Helle Bonnesen,1430,Helt enig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,det konservative folkeparti,Københavns ," Sundbyøster, Vesterbro, Østerbro", 52, cand.merc. , 2300 København Ø, Kvinde , Ja 
Lars Barfoed,2606,Helt enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Helt uenig,det konservative folkeparti,Københavns ," Brønshøj, Falkoner, Slots", 58," Fhv. minister, cand. jur. ",  Frederiksberg, Mand , Ja 
Anne Hansen,1016,Delvist enig,Delvist uenig,Delvist enig,Delvist enig,Delvist uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,det konservative folkeparti,Københavns ," Indre By, Nørrebro, Utterslev", 30, Konsulent ,  Hvidovre, Kvinde , Ja 
Josefine Kofoed,1209,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,det konservative folkeparti,Københavns ," Dragør, Tårnby", 29, stud.scient.pol. , Ukendt, Kvinde , Nej 
Søren-Michael Pihl,257,Helt enig,Helt enig,Delvist enig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Helt enig,det konservative folkeparti,Københavns ," Sundbyvester, Valby", Ukendt, Interim manager , 2100 København Ø, Mand , Nej 
Sisse Marie Welling,727,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,socialistisk folkeparti,Københavns ," Østerbro, Valby, Sundbyvester, Tårnby", 29, Fuldmægtig , 2200 København N, Kvinde , Nej 
Balder Mørk Andersen,400,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Delvist uenig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Københavns , Storkredskandidat, 39, Konsulent ,  Frederiksberg, Mand , Ja 
Neil Bloem,278,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Københavns , Storkredskandidat, 33, Studerende , 2200 København N, Mand , Nej 
Özlem Sara Cekic,6542,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Københavns ," Vesterbro, Indre by, Utterslev, Falkoner", 39, Sygeplejerske , 2770 Kastrup, Kvinde , Ja 
Leif Donbæk,104,Hverken enig eller uenig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Helt uenig,socialistisk folkeparti,Københavns , Storkredskandidat, 31, Stud.jur. , 2200 København N, Mand , Nej 
Pia Olsen Dyhr,9575,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Københavns ," Nørrebro, Brønshøj, Sundbyøster, Slots", 44, Partiformand , 2700 Brønshøj, Kvinde , Ja 
Kathrine Jensen,116,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,socialistisk folkeparti,Københavns , Ukendt, Ukendt, Kandidat i Asienstudier ,  København V, Kvinde , Nej 
Klaus Mygind,147,Helt uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Københavns , Storkredskandidat, Ukendt, Konsulent , 2300 København S, Mand , Nej 
Jonas Niemann,119,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Delvist uenig,socialistisk folkeparti,Københavns , Storkredskandidat, Ukendt, Kemiker , 2100 København Ø, Mand , Nej 
Kasper Nordborg Kiær,456,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Københavns , Storkredskandidat, Ukendt, Folkeskolelærer , 2300 København S, Mand , Nej 
Halime Oguz,73,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt enig,Delvist enig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Københavns , Storkredskandidat, Ukendt, cand.mag. / integrationsvejleder , Ukendt, Kvinde , Nej 
Kirsten Sloth,85,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Københavns , Storkredskandidat, 51, Administrativ sagsbehandler ,  København K, Kvinde , Nej 
Simon Emil Ammitzbøll,6904,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Københavns , Storkredskandidat, 38, MF , 2100 København Ø, Mand , Ja 
Karina Bergmann,643,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Delvist enig,Helt uenig,Helt enig,liberal alliance,Københavns , Storkredskandidat, Ukendt, Sælger , 2200 København N, Kvinde , Nej 
Rasmus Boserup,224,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Hverken enig eller uenig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Københavns , Storkredskandidat, Ukendt, IT-chef , 2770 Kastrup, Mand , Nej 
Patrick Donovan,251,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,liberal alliance,Københavns , Storkredskandidat, Ukendt, Konsulent , 2450 København SV, Mand , Nej 
Søren Juliussen,203,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Københavns , Storkredskandidat, Ukendt, Mediegrafiker , 2400 København NV, Mand , Nej 
Kasper Heumann Kristensen,471,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Københavns , Storkredskandidat, 38, Direktør , 2200 København N, Mand , Nej 
Laura Lindahl,2691,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Helt uenig,Helt enig,liberal alliance,Københavns , Østerbro, 32, Rådmand , 1813 Frederiksberg C, Kvinde , Ja 
Danny K. Malkowski,670,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Delvist enig,liberal alliance,Københavns , Storkredskandidat, 31, Selvstændig , 2400 København NV, Mand , Nej 
Henrik Howardsen,120,Helt enig,Helt enig,Helt uenig,Delvist enig,Delvist uenig,Helt enig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt enig,Delvist enig,kristendemokraterne,Københavns , Nørrebro, Ukendt, Sygeplejerske , 2200 København N, Mand , Nej 
Sølve Jønsson,59,Helt enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Delvist uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Helt uenig,kristendemokraterne,Københavns , Sundbyvester, Ukendt, Bibliotekar , 2300 København S, Kvinde , Nej 
Bess Serner-Pedersen,151,Helt enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt uenig,Delvist enig,Hverken enig eller uenig,kristendemokraterne,Københavns ," Slots, Brønshøj, Vanløse", 64, Sekretær , 2720 Vanløse, Kvinde , Ja 
Karin Storgård,573,Helt enig,Hverken enig eller uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Delvist enig,Delvist enig,Helt enig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,dansk folkeparti,Københavns , Østerbro, 75, Selvstændig , 2100 København Ø, Kvinde , Ja 
Preben Bille Brahe,272,Delvist uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt uenig,Hverken enig eller uenig,dansk folkeparti,Københavns , Valby, Ukendt, Kaptajn , 2942 Skodsborg, Mand , Nej 
Jette Plesner Dali,598,Hverken enig eller uenig,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,dansk folkeparti,Københavns , Slots, 67, Lægesekretær , 2000 Frederiksberg, Kvinde , Ja 
Morten Dreyer,585,Delvist enig,Helt uenig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist uenig,Delvist uenig,dansk folkeparti,Københavns , Falkoner, 68, IT-konsulent , 2791 Dragør, Mand , Ja 
Søren Lund Hansen,168,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Hverken enig eller uenig,dansk folkeparti,Københavns , Vesterbro, 41, Logistikchef , 4200 Slagelse, Mand , Nej 
Martin Henriksen,3094,Delvist enig,Delvist uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,dansk folkeparti,Københavns , Tårnby, 35, Chauffør , 2791 Dragør, Mand , Ja 
Paw Karslund,1301,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,dansk folkeparti,Københavns , Sundbyvester, 42, Flyportør , 2791 Dragør, Mand , Ja 
Else-Marie Madsen,195,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,dansk folkeparti,Københavns , Indre By, Ukendt, Efterlønsmodtager ,  Allerød, Kvinde , Nej 
Githa Nelander,248,Helt enig,Delvist uenig,Helt uenig,Delvist enig,Delvist enig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,dansk folkeparti,Københavns , Nørrebro, 54, Businesscoach , 4700 Næstved, Kvinde , Ja 
Finn Rudaizky,1121,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt uenig,Delvist enig,dansk folkeparti,Københavns , Sundbyøster, 73, Borgerrepræsentationsmedlem , 1414 København K, Mand , Ja 
Peter Skårup,11402,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,dansk folkeparti,Københavns , Brønshøj, 51, Sekretariatschef , Ukendt, Mand , Ja 
Jens Vornøe,337,Helt enig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,dansk folkeparti,Københavns , Utterslev, Ukendt, Steward , 2300 København S, Mand , Nej 
Colette Brix,361,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt uenig,Hverken enig eller uenig,venstre,Københavns , Valby, 65, Selvstændig , 2920 Charlottenlund, Kvinde , Ja 
Martin Geertsen,2576,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt enig,Delvist enig,Delvist uenig,Helt enig,Delvist uenig,Delvist enig,venstre,Københavns , Tårnby, 45, Cand.scient.pol. , 2300 København S, Mand , Ja 
Michael Jellesmark,197,Delvist enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,venstre,Københavns , Sundbyvester, Ukendt, Studerende , 2770 Kastrup, Mand , Nej 
Karina Rohrberg Jessen,1003,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Delvist uenig,Delvist uenig,Delvist uenig,Delvist uenig,venstre,Københavns , Vesterbro, Ukendt, Selvstændig , 2300 København S, Kvinde , Nej 
Jan E. Jørgensen,3254,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,venstre,Københavns , Slots, 50, Advokat ,  Frederiksberg, Mand , Ja 
Anahita Malakians,229,Delvist enig,Helt uenig,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Helt enig,Helt uenig,Hverken enig eller uenig,venstre,Københavns , Utterslev, 32, Studerende ,  København NV, Kvinde , Nej 
Kåre Traberg Smidt,598,Helt uenig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,venstre,Københavns , Nørrebro, Ukendt, Advokat , Ukendt, Mand , Nej 
Johanne Schmidt-Nielsen,40425,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Københavns , Nørrebro, 31, Studerende , 2200 København N, Kvinde , Ja 
Finn Sørensen,998,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Københavns , Sundbyvester, 68, Arbejdsmand , 2300 København S, Mand , Ja 
Pelle Dragsted,2599,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Københavns , Falkoner, Ukendt, Politisk rådgiver , 2000 Frederiksberg C, Mand , Nej 
Rosa Lund,1463,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Delvist uenig,enhedslisten,Københavns ," Vesterbro, Indre By", 28, Studerende , 2200 København N, Kvinde , Ja 
Jette Gottlieb,724,Delvist enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt uenig,Delvist enig,Helt uenig,enhedslisten,Københavns , Indre By, 67, Vejleder ,  København K, Kvinde , Nej 
Sarah Glerup,866,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Københavns , Tårnby, Ukendt, Kommunikationsmedarbejder ,  Frederiksberg, Kvinde , Nej 
Victoria Ninosca Risbjerg Velasquez,324,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Københavns , Utterslev, 24, Studerende ,  København V, Kvinde , Ja 
Mads Paulsen,198,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Delvist uenig,enhedslisten,Københavns , Sundbyøster, 25, Studerende , 2300 København S, Mand , Nej 
Thyge Enevoldsen,110,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Københavns , Slots, 63, Studieleder ,  Frederiksberg, Mand , Nej 
Katrine Toft Mikkelsen,187,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Københavns , Brønshøj, Ukendt, Cand.scient.pol. , 2700 Brønshøj, Kvinde , Nej 
