Navn,Stemmer,Uddannelse,Forebyggelse,Sundhed,Velfærd,Arbejdsmarked_1,Arbejdsmarked_2,Økonomi,Trafik,Ret,Social,Integration,EU,Udvikling,Miljø,Kultur,Parti,Storkreds,Lokalkreds,Alder,Titel,Bopæl,Køn,Valgt_ved_sidste_valg
Jens Henrik Thulesen Dahl,9923,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Helt enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,dansk folkeparti,Fyns , Assens, 54, Arbejdsmiljøkonsulent , 5610 Assens, Mand , Ja 
Jesper Krarup,1020,Delvist enig,Delvist uenig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,dansk folkeparti,Fyns , Middelfart, Ukendt, Fængselslærer , 6280 Højer, Mand , Nej 
Carsten Kudsk,1874,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt enig,dansk folkeparti,Fyns , Nyborg, 44, Levnedsmiddeltekniker , 5853 Ørbæk, Mand , Nej 
Åge Priisholm,561,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Delvist enig,Delvist enig,dansk folkeparti,Fyns , Faaborg, Ukendt, Fængselsbetjent , 5750 Ringe, Mand , Nej 
Dorthe Ullemose,2670,Delvist enig,Delvist uenig,Delvist uenig,Helt uenig,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,dansk folkeparti,Fyns , Svendborg, Ukendt, Socialpædagog , 5881 Skårup, Kvinde , Nej 
Mark Grossmann,2199,Delvist enig,Delvist uenig,Delvist uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,venstre,Fyns , Odense Øst, Ukendt, Politiassistent , Ukendt, Mand , Ja 
Marlene Ambo-Rasmussen,2239,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Delvist uenig,Delvist uenig,Delvist uenig,Delvist uenig,Helt uenig,Delvist enig,Helt enig,Delvist enig,Helt enig,Delvist uenig,Helt enig,venstre,Fyns , Odense Vest, Ukendt, Studerende , 5210 Odense NV, Kvinde , Nej 
Erling Bonnesen,9034,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Delvist enig,Delvist uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Delvist uenig,Helt enig,Delvist uenig,Delvist uenig,venstre,Fyns , Svendborg, 60, Revisor , 5672 Broby, Mand , Ja 
Jane Heitmann,4677,Helt uenig,Delvist uenig,Helt uenig,Delvist enig,Delvist enig,Delvist uenig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Helt enig,Delvist uenig,Delvist uenig,venstre,Fyns , Assens, 47, MF , 5600 Faaborg, Kvinde , Ja 
Claus Houden,1052,Delvist uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Helt uenig,Delvist uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,venstre,Fyns , Odense Syd, 55, Civiløkonom , 5230 Odense M, Mand , Ja 
