"name","age","party","votes","UDDANNELSE__Efter folkeskolereformen får eleverne for lange skoledage","FOREBYGGELSE__Afgiften på cigaretter skal sættes op","SUNDHED__Et besøg hos den praktiserende læge skal koste eksempelvis 100 kr.","VELFÆRD__Mere af ældreplejen skal udliciteres til private virksomheder","ARBEJDSMARKED__Man skal hurtigere kunne genoptjene retten til dagpenge","ARBEJDSMARKED__Virksomheder skal kunne drages til ansvar for, om deres udenlandske underleverandører i Danmark overholder danske regler om løn, moms og skat","ØKONOMI__Vækst i den offentlige sektor er vigtigere end skattelettelser","TRAFIK__Investeringer i kollektiv trafik skal prioriteres højere end investeringer til fordel for privatbilisme","RET__Straffen for grov vold og voldtægt skal skærpes","SOCIAL__Kontanthjælpen skal sænkes, så den økonomiske gevinst ved at arbejde bliver større","INTEGRATION__Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter","EU__EU bestemmer for meget i forhold til dansk lov","UDVIKLING__Ulandsbistanden skal sænkes","MILJØ__Indsatsen for at forbedre miljøet skal gå forud for økonomisk vækst","KULTUR__Den offentlige kulturstøtte skal sænkes"
"Yildiz Akdogan",42,"a",4284,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Sine Heltberg",39,"a",827,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig"
"Özkan Kocak",39,"a",913,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig"
"Lars Aslan Rasmussen",36,"a",1447,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt uenig","Helt enig","Delvist uenig"
"Mette Reissmann",52,"a",2962,"Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Dennis Schnell-Lauritzen",45,"a",508,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig"
"Simon Sjørup Simonsen",45,"a",287,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig"
"Peter Hummelgaard Thomsen",32,"a",5065,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Kristian Westfall",36,"a",324,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig"
"Pernille Boye Koch",44,"b",867,"Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist uenig"
"Samira Nawa Amini",27,"b",1790,"Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Hverken enig eller uenig"
"Ida Auken",37,"b",10431,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"Søren Burcharth",52,"b",191,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Sophie Danneris",29,"b",423,"Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Karsten Lauritsen",50,"b",177,"Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Lone Loklindt",55,"b",1134,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig"
"Mia Nyegaard",41,"b",696,"Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig"
"Manu Sareen",48,"b",6168,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"Christian Peter Schmidt-Sørensen Dragsdahl Scharling",22,"b",286,"Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Delvist uenig"
"André Just Vedgren",45,"b",323,"Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Niels Wanning",35,"b",268,"Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Helle Bonnesen",52,"c",1430,"Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig"
"Lars Barfoed",58,"c",2606,"Helt enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig"
"Anne Hansen",30,"c",1016,"Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig"
"Josefine Kofoed",29,"c",1209,"Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig"
"Søren-Michael Pihl",58,"c",257,"Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt enig"
"Sisse Marie Welling",29,"f",727,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Balder Mørk Andersen",39,"f",400,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig"
"Neil Bloem",33,"f",278,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Özlem Sara Cekic",39,"f",6542,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig"
"Leif Donbæk",31,"f",104,"Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Pia Olsen Dyhr",43,"f",9575,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig"
"Kathrine Jensen",31,"f",116,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Klaus Mygind",60,"f",147,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Jonas Niemann",25,"f",119,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig"
"Kasper Nordborg Kiær",29,"f",456,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Helt uenig"
"Halime Oguz",45,"f",73,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Kirsten Sloth",50,"f",85,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig"
"Simon Emil Ammitzbøll",38,"i",6904,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Karina Bergmann",30,"i",643,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Helt enig"
"Rasmus Boserup",33,"i",224,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Patrick Donovan",40,"i",251,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Søren Juliussen",26,"i",203,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Kasper Heumann Kristensen",38,"i",471,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Laura Lindahl",32,"i",2691,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Danny K. Malkowski",31,"i",670,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist enig"
"Henrik Howardsen",51,"k",120,"Helt enig","Helt enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig"
"Sølve Jønsson",41,"k",59,"Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig"
"Bess Serner-Pedersen",64,"k",151,"Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Delvist enig","Hverken enig eller uenig"
"Karin Storgaard",75,"o",573,"Helt enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Preben Bille Brahe",51,"o",272,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Jette Plesner Dali",66,"o",598,"Hverken enig eller uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Morten Dreyer",68,"o",585,"Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist uenig"
"Søren Lund Hansen",41,"o",168,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Martin Henriksen",35,"o",3094,"Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Paw Karslund",42,"o",1301,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Else-Marie Madsen",65,"o",195,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Githa Nelander",54,"o",248,"Helt enig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Finn Rudaizky",73,"o",1121,"Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist enig"
"Peter Skaarup",51,"o",11402,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Jens Vornøe",45,"o",337,"Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Colette Brix",65,"v",361,"Helt uenig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Martin Geertsen",45,"v",2576,"Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Delvist enig"
"Michael Jellesmark",45,"v",197,"Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig"
"Karina Rohrberg Jessen",49,"v",1003,"Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig"
"Jan E. Jørgensen",50,"v",3254,"Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Anahita Malakians",32,"v",229,"Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Kåre Traberg Smidt",43,"v",598,"Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig"
"Johanne Schmidt-Nielsen",31,"oe",40425,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Finn Sørensen",68,"oe",998,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Pelle Dragsted",40,"oe",2599,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Rosa Lund",28,"oe",1463,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig"
"Jette Gottlieb",67,"oe",724,"Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig"
"Sarah Glerup",30,"oe",866,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Victoria Ninosca Risbjerg Velasquez",24,"oe",324,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Mads Paulsen",25,"oe",198,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig"
"Thyge Enevoldsen",63,"oe",110,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Katrine Toft Mikkelsen",44,"oe",187,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Uffe Elbæk",61,"aa",18796,"Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Nilas Bay-Foged",37,"aa",353,"Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Rolf Bjerre",36,"aa",991,"Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Delvist uenig"
"Morten Ellehauge",53,"aa",186,"Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Erik Valentin Fischer",42,"aa",172,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig"
"Rune Lundgaard Jørgensen",32,"aa",292,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Jan Kristoffersen",41,"aa",171,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Delvist enig"
"Carolina Magdalene Maier",41,"aa",1073,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig"
"Jacob Fuglsang Mikkelsen",43,"aa",194,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Franciska Rosenkilde",39,"aa",766,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Rune Peter Wingaard",31,"aa",443,"Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Delvist uenig"
"Kashif Ahmad",35,"1",0,"Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig"
"Jan Elkjær",64,"1",0,"Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig"
"John Erik Wagner",52,"1",0,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig"
"Jesper Hostrup Hansen",54,"a",133,"Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig"
"Jeppe Bruus",37,"a",2806,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Morten Bødskov",45,"a",5935,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig"
"Kenneth F. Christensen",39,"a",1466,"Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Delvist uenig"
"Mette Frederiksen",37,"a",24486,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Mogens Lykketoft",69,"a",6795,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Simon Pihl Sørensen",49,"a",1034,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig"
"Mattias Tesfaye",34,"a",8545,"Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig"
